x1, class
-1.9242,1
-2.0039,1
-2.0259,1
-1.8096,1
-1.9083,1
-1.8787,1
-1.7109,1
-2.0123,1
-1.843,1
-1.6965,1
-2.029,1
-1.6988,1
-1.988,1
-2.0222,1
-1.843,1
-1.6487,1
-1.9318,1
-2.0404,1
-1.9948,1
-1.7147,1
-2.177,1
-1.8036,1
-1.7398,1
-2.2917,1
-2.1064,1
-1.4179,1
-2.1504,1
-1.6464,1
-1.6957,1
-1.7102,1
-1.9,1
-1.5666,1
-1.7876,1
-1.8385,1
-1.9849,1
0.53616,2
0.56647,2
0.50042,2
0.31371,2
0.61207,2
0.93016,2
0.27571,2
0.14968,2
0.2886,2
0.3646,2
0.19066,2
0.56111,2
0.38657,2
0.46556,2
0.73196,2
0.29241,2
0.43668,2
0.48904,2
0.4025,2
0.59754,2
0.64773,2
-0.11823,2
0.054031,2
0.62114,2
0.88158,2
0.44962,2
0.36004,2
-0.078029,2
0.57179,2
0.60448,2
0.87775,2
0.66516,2
1.1244,2
0.29769,2
0.63864,2
0.32963,2
1.1139,3
1.1449,3
1.5837,3
1.7038,3
1.192,3
1.6529,3
1.3052,3
2.2981,3
1.3196,3
1.3439,3
1.3795,3
1.5595,3
1.6977,3
1.2672,3
1.4191,3
1.719,3
1.6339,3
1.4335,3
1.4942,3
1.574,3
1.8973,3
0.95286,3
1.2848,3
1.3795,3
1.4198,3
1.476,3
1.4578,3
1.0235,3
1.6362,3
1.9649,3
1.249,3
1.246,3
1.306,3
1.2731,3
1.2999,3
1.7061,3
1.857,3
1.719,3
1.1715,3
1.7053,3
1.1707,3
